timestamp_minute,asset,instrument_type,strike,trading_symbol,open,high,low,close,volume,tick_count
2026-09-22 14:17:00,NIFTY,FUT,0.0,NIFTY26SEPFUT,23398.0,23400.0,23393.2,23400.0,10205,4
2026-09-22 14:17:00,NIFTY,SPOT,0.0,Nifty 50,23378.25,23386.45,23378.25,23385.35,0,4
2026-09-22 14:17:00,NIFTY,CE,23100.0,NIFTY2692223100CE,283.15,291.05,283.15,291.05,13650,4
2026-09-22 14:17:00,NIFTY,PE,23100.0,NIFTY2692223100PE,1.4,1.4,1.3,1.3,303160,4
2026-09-22 14:17:00,NIFTY,CE,23150.0,NIFTY2692223150CE,233.15,241.65,233.15,241.1,17550,4
2026-09-22 14:17:00,NIFTY,PE,23150.0,NIFTY2692223150PE,2.0,2.0,1.85,1.9,296010,4
2026-09-22 14:17:00,NIFTY,CE,23200.0,NIFTY2692223200CE,185.85,193.1,185.85,192.8,145015,4
2026-09-22 14:17:00,NIFTY,PE,23200.0,NIFTY2692223200PE,3.85,3.85,3.5,3.5,986895,4
2026-09-22 14:17:00,NIFTY,CE,23250.0,NIFTY2692223250CE,140.2,147.25,140.2,147.25,222495,4
2026-09-22 14:17:00,NIFTY,PE,23250.0,NIFTY2692223250PE,7.55,7.55,6.8,6.8,1093950,4
2026-09-22 14:17:00,NIFTY,CE,23300.0,NIFTY2692223300CE,97.65,103.8,97.65,103.8,1116895,4
2026-09-22 14:17:00,NIFTY,PE,23300.0,NIFTY2692223300PE,15.1,15.1,13.6,13.6,1692080,4
2026-09-22 14:17:00,NIFTY,CE,23350.0,NIFTY2692223350CE,61.55,66.6,61.55,66.6,1790295,4
2026-09-22 14:17:00,NIFTY,PE,23350.0,NIFTY2692223350PE,29.25,29.25,26.75,26.75,1897805,4
2026-09-22 14:17:00,NIFTY,CE,23400.0,NIFTY2692223400CE,35.4,39.05,35.4,38.65,3616795,4
2026-09-22 14:17:00,NIFTY,PE,23400.0,NIFTY2692223400PE,52.8,52.8,49.0,49.05,1505985,4
2026-09-22 14:17:00,NIFTY,CE,23450.0,NIFTY2692223450CE,18.45,20.7,18.45,20.7,2477345,4
2026-09-22 14:17:00,NIFTY,PE,23450.0,NIFTY2692223450PE,85.1,85.1,80.05,80.05,370695,4
2026-09-22 14:17:00,NIFTY,CE,23500.0,NIFTY2692223500CE,8.75,9.95,8.75,9.85,2946645,4
2026-09-22 14:17:00,NIFTY,PE,23500.0,NIFTY2692223500PE,126.55,126.55,120.35,120.35,218985,4
2026-09-22 14:17:00,NIFTY,CE,23550.0,NIFTY2692223550CE,3.9,4.5,3.9,4.45,1399450,4
2026-09-22 14:17:00,NIFTY,PE,23550.0,NIFTY2692223550PE,171.85,171.85,164.65,165.6,30095,4
2026-09-22 14:17:00,NIFTY,CE,23600.0,NIFTY2692223600CE,1.8,2.0,1.8,2.0,3999125,4
2026-09-22 14:17:00,NIFTY,PE,23600.0,NIFTY2692223600PE,219.85,219.85,212.2,212.2,28860,4
2026-09-22 14:17:00,NIFTY,CE,23650.0,NIFTY2692223650CE,0.85,1.05,0.85,1.05,1096550,4
2026-09-22 14:17:00,NIFTY,PE,23650.0,NIFTY2692223650PE,268.1,268.1,260.2,260.5,4940,4
2026-09-22 14:17:00,NIFTY,CE,23700.0,NIFTY2692223700CE,0.6,0.7,0.6,0.7,328185,4
2026-09-22 14:17:00,NIFTY,PE,23700.0,NIFTY2692223700PE,318.2,318.2,310.15,313.15,2795,4
2026-09-22 14:18:00,NIFTY,FUT,0.0,NIFTY26SEPFUT,23400.0,23405.4,23391.0,23395.0,5265,18
2026-09-22 14:18:00,NIFTY,SPOT,0.0,Nifty 50,23387.05,23387.2,23378.9,23385.0,0,18
2026-09-22 14:18:00,NIFTY,CE,23100.0,NIFTY2692223100CE,289.75,291.35,277.45,286.7,49530,18
2026-09-22 14:18:00,NIFTY,PE,23100.0,NIFTY2692223100PE,1.3,1.45,1.2,1.45,1986465,18
2026-09-22 14:18:00,NIFTY,CE,23150.0,NIFTY2692223150CE,245.3,245.3,229.7,236.35,116545,18
2026-09-22 14:18:00,NIFTY,PE,23150.0,NIFTY2692223150PE,1.85,2.2,1.85,2.2,1802450,18
2026-09-22 14:18:00,NIFTY,CE,23200.0,NIFTY2692223200CE,196.1,196.1,181.7,189.3,429130,18
2026-09-22 14:18:00,NIFTY,PE,23200.0,NIFTY2692223200PE,3.35,4.3,3.35,4.0,3709875,18
2026-09-22 14:18:00,NIFTY,CE,23250.0,NIFTY2692223250CE,149.3,149.3,135.45,142.45,850265,18
2026-09-22 14:18:00,NIFTY,PE,23250.0,NIFTY2692223250PE,6.55,8.4,6.55,7.75,4100070,18
2026-09-22 14:18:00,NIFTY,CE,23300.0,NIFTY2692223300CE,104.5,104.5,93.2,99.6,3129620,18
2026-09-22 14:18:00,NIFTY,PE,23300.0,NIFTY2692223300PE,13.35,16.75,13.35,15.35,5675410,18
2026-09-22 14:18:00,NIFTY,CE,23350.0,NIFTY2692223350CE,68.65,68.65,58.25,64.0,5625035,18
2026-09-22 14:18:00,NIFTY,PE,23350.0,NIFTY2692223350PE,25.6,31.65,25.6,28.9,5218590,18
2026-09-22 14:18:00,NIFTY,CE,23400.0,NIFTY2692223400CE,40.0,40.0,32.9,36.95,11776830,18
2026-09-22 14:18:00,NIFTY,PE,23400.0,NIFTY2692223400PE,47.05,56.2,47.05,52.0,4094935,18
2026-09-22 14:18:00,NIFTY,CE,23450.0,NIFTY2692223450CE,20.25,20.7,17.0,19.3,8598915,18
2026-09-22 14:18:00,NIFTY,PE,23450.0,NIFTY2692223450PE,80.2,90.05,80.05,84.35,1093430,18
2026-09-22 14:18:00,NIFTY,CE,23500.0,NIFTY2692223500CE,10.3,10.3,8.15,9.25,9055410,18
2026-09-22 14:18:00,NIFTY,PE,23500.0,NIFTY2692223500PE,117.25,131.8,117.25,124.9,659295,18
2026-09-22 14:18:00,NIFTY,CE,23550.0,NIFTY2692223550CE,4.55,4.6,3.75,4.3,4507490,18
2026-09-22 14:18:00,NIFTY,PE,23550.0,NIFTY2692223550PE,162.0,176.65,162.0,169.25,115440,18
2026-09-22 14:18:00,NIFTY,CE,23600.0,NIFTY2692223600CE,1.95,1.95,1.7,1.95,9976460,18
2026-09-22 14:18:00,NIFTY,PE,23600.0,NIFTY2692223600PE,210.7,224.65,210.7,216.7,92365,18
2026-09-22 14:18:00,NIFTY,CE,23650.0,NIFTY2692223650CE,1.05,1.05,0.9,1.0,1970605,18
2026-09-22 14:18:00,NIFTY,PE,23650.0,NIFTY2692223650PE,257.5,274.5,257.5,269.7,13000,18
2026-09-22 14:18:00,NIFTY,CE,23700.0,NIFTY2692223700CE,0.7,0.75,0.65,0.7,902850,18
2026-09-22 14:18:00,NIFTY,PE,23700.0,NIFTY2692223700PE,309.55,323.3,307.9,316.8,6955,18
2026-09-22 14:19:00,NIFTY,FUT,0.0,NIFTY26SEPFUT,23405.0,23405.0,23395.0,23397.0,9360,18
2026-09-22 14:19:00,NIFTY,SPOT,0.0,Nifty 50,23385.7,23386.5,23381.55,23384.55,0,18
2026-09-22 14:19:00,NIFTY,CE,23100.0,NIFTY2692223100CE,285.95,289.7,285.2,286.8,23465,18
2026-09-22 14:19:00,NIFTY,PE,23100.0,NIFTY2692223100PE,1.45,1.45,1.35,1.45,2582255,18
2026-09-22 14:19:00,NIFTY,CE,23150.0,NIFTY2692223150CE,238.75,240.0,236.05,237.05,29575,18
2026-09-22 14:19:00,NIFTY,PE,23150.0,NIFTY2692223150PE,2.15,2.15,2.05,2.15,1788475,18
2026-09-22 14:19:00,NIFTY,CE,23200.0,NIFTY2692223200CE,190.2,191.05,188.25,189.0,275340,18
2026-09-22 14:19:00,NIFTY,PE,23200.0,NIFTY2692223200PE,4.0,4.1,3.8,3.95,3783780,18
2026-09-22 14:19:00,NIFTY,CE,23250.0,NIFTY2692223250CE,144.65,145.5,142.25,143.45,438230,18
2026-09-22 14:19:00,NIFTY,PE,23250.0,NIFTY2692223250PE,7.7,7.85,7.3,7.65,3207100,18
2026-09-22 14:19:00,NIFTY,CE,23300.0,NIFTY2692223300CE,101.35,102.15,99.35,100.8,2050880,18
2026-09-22 14:19:00,NIFTY,PE,23300.0,NIFTY2692223300PE,15.0,15.35,14.6,15.1,3945695,18
2026-09-22 14:19:00,NIFTY,CE,23350.0,NIFTY2692223350CE,65.0,66.2,63.45,64.35,3348345,18
2026-09-22 14:19:00,NIFTY,PE,23350.0,NIFTY2692223350PE,28.5,29.2,27.75,28.95,3536520,18
2026-09-22 14:19:00,NIFTY,CE,23400.0,NIFTY2692223400CE,37.95,38.8,36.85,37.25,7709325,18
2026-09-22 14:19:00,NIFTY,PE,23400.0,NIFTY2692223400PE,51.2,52.45,50.0,52.05,2514005,18
2026-09-22 14:19:00,NIFTY,CE,23450.0,NIFTY2692223450CE,20.05,20.2,19.35,19.7,5644470,18
2026-09-22 14:19:00,NIFTY,PE,23450.0,NIFTY2692223450PE,83.15,84.85,82.5,83.95,699725,18
2026-09-22 14:19:00,NIFTY,CE,23500.0,NIFTY2692223500CE,9.6,9.8,9.2,9.3,6099275,18
2026-09-22 14:19:00,NIFTY,PE,23500.0,NIFTY2692223500PE,123.5,125.15,121.85,124.75,495950,18
2026-09-22 14:19:00,NIFTY,CE,23550.0,NIFTY2692223550CE,4.35,4.45,4.2,4.3,2746900,18
